#тип;х;у;таймаут от старта;когда исчезнуть, сдвиг по х, сдвиг по у
mp;muzlome_Stalker_Clear_Sky_-_Bandit_Camp_Radio_Music_64889679.mp3
bp;maxresdefault (1).jpg
3;350;300;0;2;-100;0
0;300;250;2;3;0;0
0;325;290;3;4;0;0
2;225;250;4;6;0;150
0;375;350;6;7;0;0
0;450;300;7;8;0;0 
0;500;350;8;9;0;0
0;550;300;9;10;0;0
0;600;350;10;11;0;0
2;650;300;11;14;0;150
0;600;300;14;15;0;0
0;575;450;15;16;0;0
3;200;400;16;18;150;0
0;375;400;18;19;0;0
0;425;350;19;20;0;0
0;475;400;20;21;0;0
0;500;350;21;22;0;0
0;510;360;22;23;0;0
0;520;370;23;24;0;0
0;570;400;24;25;0;0
2;600;350;25;27;0;150
0;550;360;27;28;0;0
0;500;200;28;29;0;0
1;150;200;29;31;100;0
0;250;220;31;32;0;0
0;275;270;32;33;0;0
0;300;220;33;34;0;0
0;300;250;34;35;0;0
0;310;260;35;36;0;0
0;310;290;36;37;0;0
0;310;320;37;38;0;0
1;290;320;38;40;-120;0
0;170;290;40;41;0;0
0;200;310;41;42;0;0
1;220;330;42;44;150;0
0;240;330;44;45;0;0
0;270;300;45;46;0;0
0;300;330;46;47;0;0
0;270;300;47;48;0;0
0;240;330;48;49;0;0 
2;200;300;49;51;150;0
0;180;290;51;52;0;0
0;170;300;52;53;0;0
0;200;310;53;54;0;0
4;0;0;54;64;0;0
#если уровень где-то обрывается, 
#значит спарсить значение невозможно
#по такому же принципу комментариев 
#можно сделать подключение композиций, либо 
#в другом месте определять пару карта/музыка
